Titulo Principal,Titulo Secundario,Autor,N° Ref
The Interpretation of Dreams,,Sigmund Freud,97
西遊記,,Cheng'en Wu,96
Paradise Lost,,John Milton,96
Madame Bovary,,Gustave Flaubert,96
De Officiis,,Marcus Tullius Cicero,96
Euthyphro,,Plato,96
The Wars of the Jews,The History of the Destruction of Jerusalem,Flavius Josephus,95
Swann's Way,,Marcel Proust,95
Ecce Homo,,Friedrich Wilhelm Nietzsche,94
The Jew of Malta,,Christopher Marlowe,94
Doña Perfecta,,Benito Pérez Galdós,94
A Discourse Upon the Origin and the Foundation of the Inequality Among Mankind,,Rousseau,94
La Asocio de la Junuloj: Dramo en kvin aktoj,,Henrik Ibsen,94
Also sprach Zarathustra: Ein Buch für Alle und Keinen,,Friedrich Wilhelm Nietzsche,94
"The Younger Edda; Also called Snorre's Edda, or The Prose Edda",,Snorri Sturluson,94
Don Quixote,,Miguel de Cervantes Saavedra,94
Philosophiae Naturalis Principia Mathematica,,Isaac Newton,94
The School for Scandal,,Richard Brinsley Sheridan,94
Argonauts of the Western Pacific,,Bronislaw Malinowski,93
Kidnapped,,Robert Louis Stevenson,93
Lady Windermere's Fan,,Oscar Wilde,93
Alice's Adventures in Wonderland,,Lewis Carroll,93
This Side of Paradise,,F. Scott  Fitzgerald,93
Reflections; or Sentences and Moral Maxims,,François duc de La Rochefoucauld,92
Critical and Historical Essays,,Edward MacDowell,92
Dialogues Concerning Natural Religion,,David Hume,92
French Conversation and Composition,,Harry Vincent Wann,92
Mrs. Warren's Profession,,Bernard Shaw,91
The Will to Power: An Attempted Transvaluation of All Values. Book I and II,,Nietzsche,91
The Scarlet Pimpernel,,Baroness Emmuska Orczy Orczy,91
Tender Buttons,,Gertrude Stein,91
A Treatise of Human Nature,,David Hume,91
"Arsène Lupin, gentleman-cambrioleur",,Maurice Leblanc,91
The call of Cthulhu,,H. P.  Lovecraft,90
The Aesop for Children,,Aesop,90
Fifty Famous Stories Retold,,James Baldwin,90
"Commentaries on the Laws of England, Book the First",,Sir William Blackstone,90
Daemonologie.,,King of England James I,90
The Arabian Nights Entertainments,,Andrew Lang,90
On the Sublime,,active 1st century Longinus,90
The Golden Legend,,Henry Wadsworth Longfellow,90
The Merry Adventures of Robin Hood,,Howard Pyle,90
The Anglo-Saxon Chronicle,,,90
The Tragedy of Pudd'nhead Wilson,,Mark Twain,89
The Practice and Science of Drawing,,Harold Speed,89
The Art of Public Speaking,,Dale Carnegie and J. Berg  Esenwein,89
"Presidential addresses and state papers, Volume 1",,Theodore Roosevelt,89
